COMID,LAKE_NAME,LON_NAD83,LAT_NAD83,VARIABLE,THRESHOLD,BLOOM_MAG,PROB_EXCEED,CI_97.5PERC,CI_2.5PERC
10038590,Flaming Gorge Reservoir,-109.5298597,40.91158261,microcystin,0.2,0.001890771,0.11689625,0.177178357,0.07524849
10038598,Flaming Gorge Reservoir,-109.6267821,40.91297868,microcystin,0.2,0.001480688,0.115407641,0.175531753,0.074028448
10091800,Rockport Lake,-111.4004661,40.77712196,microcystin,0.2,0.006584935,0.135149945,0.197237514,0.09040562
1010018,Lake A,-95.0531307,33.09124052,microcystin,0.2,0.012408881,0.161076816,0.225587434,0.112338025
1010164,Lake Cypress Springs,-95.19862025,33.05713876,microcystin,0.2,0.013867325,0.168167936,0.23336393,0.118373678
1010832,Lake O' the Pines,-94.66358144,32.81786479,microcystin,0.2,0.008366854,0.142685369,0.205477322,0.096745536
10114004,Pomona Lake,-95.63745192,38.66860868,microcystin,0.2,0.003890284,0.124394949,0.185443825,0.081434385
10175533,Cordell Hull Reservoir,-85.86055202,36.29680841,microcystin,0.2,0.005297057,0.129915016,0.191503824,0.086025998
1021378,Spencer Pond,-69.5686999,45.74255453,microcystin,0.2,0.006450949,0.134597137,0.196632506,0.089942087
1021504,First Roach Pond,-69.38507493,45.65648422,microcystin,0.2,0.001542532,0.115631076,0.175779041,0.074211393
1021692,Mountain View Pond,-69.69011632,45.51954902,microcystin,0.2,0.001180508,0.114328456,0.174336646,0.073145745
1023054,Long Pond,-70.04726586,45.62496349,microcystin,0.2,0.001502152,0.115485144,0.175617535,0.074091899
1023066,Wood Pond,-70.28306655,45.61763879,microcystin,0.2,0.002195142,0.118011866,0.178411002,0.076164647
1023120,Attean Pond,-70.29562526,45.57022896,microcystin,0.2,0.002130368,0.117773679,0.178147924,0.075968916
1024266,Joes Hole,-69.82907456,45.28567453,microcystin,0.2,0.002135251,0.117791618,0.17816774,0.075983656
10272084,Willard Bay Reservoir,-112.0893255,41.37758554,microcystin,0.2,0.003065483,0.121252936,0.181985923,0.078834681
10273702,Pineview Reservoir,-111.8003875,41.26892682,microcystin,0.2,0.002597213,0.119499713,0.180053196,0.077388828
10285354,Turtle Creek Reservoir,-87.52911022,39.06285831,microcystin,0.2,0.042307309,0.355938642,0.453558303,0.268987141
10312586,Lake Bomoseen,-73.2001068,43.65763148,microcystin,0.2,0.000184757,0.110811351,0.170432977,0.070279842
10312598,"Lake Champlain, south of Memorial Lighthouse",-73.40378254,43.91580397,microcystin,0.2,0.002032703,0.117415332,0.177752033,0.075674575
10312966,"Saint Catherine, Lake",-73.21479383,43.46992805,microcystin,0.2,0.000506324,0.111936681,0.171683519,0.07119496
1031381,Fish Pond,-70.28628273,45.37576422,microcystin,0.2,0.005655341,0.131353796,0.193080767,0.087227423
1031669,Flagstaff Lake,-70.37838072,45.20619984,microcystin,0.2,0.001426779,0.115213182,0.175316494,0.073869282
1031729,West Carry Pond,-70.11114396,45.16877219,microcystin,0.2,0.001056889,0.113886591,0.173846967,0.072784769
10327875,Utah Lake,-111.8243082,40.20921519,microcystin,0.2,0.095189691,0.781917238,0.896038144,0.598637113
10337538,Lake Charleston,-88.14589585,39.46677771,microcystin,0.2,0.045840051,0.385061638,0.489371961,0.290343019
